1859.5,1636.7,993.08,1529.8,683.25,240.41,371.33,478.31,19532,17694,17645,16201,2.8,4.6667,3.0667,2.8,-1,-1,-1,-1
1593.1,1213,1575.3,368.24,247.28,57.452,315.9,333.89,59235,57696,56593,54374,4.1333,2.9333,2.5333,2.9333,-1,-1,-1,-1
1585.8,1977.6,1508.2,1255.4,1436.7,1021.4,1435.5,1439.5,20395,20120,17211,16300,9.0667,2.9333,7.6,11.067,-1,-1,-1,-1
865.14,1106.8,838.02,1351.3,1027.1,270.06,595.81,1251.1,7040.6,6803.1,5892.1,5798.8,2.5333,2.1333,2.9333,2.8,-1,-1,-1,-1
279.15,1176.3,1908.3,1284.5,1507.1,272.8,1488.2,166.29,16760,16449,15162,14741,2.8,5.7333,2.1333,2.9333,-1,-1,-1,1
1017.4,1016.6,798.35,760.47,341.61,342.63,351.06,331.52,18334,13342,12883,11882,3.0667,3.7333,2.9333,4.5333,-1,-1,-1,-1
630.29,1136.8,1206.1,1218.5,535.98,720.23,526.9,387.15,23531,21756,20299,19787,4.2667,4.1333,4.1333,4.5333,-1,-1,-1,-1
1796.2,1176.3,1095.9,1182.6,1447.9,555.08,566.67,559.09,11715,8907.7,7394.5,6387.5,2.8,2.5333,8.8,5.6,-1,-1,-1,-1
921.32,629.88,898.14,980.41,685.37,691.81,690.5,686.19,41372,33621,26581,22092,2.9333,2.6667,2.9333,3.7333,-1,-1,-1,-1
797.02,776.08,807.38,843.22,209.85,187.1,170.7,236.3,31204,29248,28714,24431,2.9333,2.1333,2.6667,2.2667,1,1,1,1
1914.9,1889.1,1936.1,671.89,614.13,659.67,634.11,370.1,17045,15911,15375,12778,4.2667,6.4,6.1333,4,1,-1,-1,-1
835.63,1041.1,783.12,868.64,1143.2,1432.3,1468.2,1448.9,16887,14414,13783,13371,2.5333,4.5333,2.9333,6.2667,1,-1,-1,-1
1509.9,1740.7,989.36,1517.4,238.79,503.85,243.69,197.5,34333,13971,12697,12070,6,4.5333,2.9333,2.2667,1,-1,1,-1
1552.5,1156.1,980.2,1301.3,104.52,1218.1,156.68,166.6,23339,10632,7902.4,7353.2,12.8,12.267,12,5.8667,1,1,-1,-1
503.83,1413.7,1380.7,744.74,1259,1357.4,1222.8,1356.7,12325,11485,10938,9903.4,2.1333,4.1333,4.5333,11.733,-1,-1,-1,-1
966.68,1576.8,1609.6,906.58,785.88,1503.2,1508.3,604.19,37752,35602,35518,30283,11.733,4.1333,3.7333,7.4667,1,1,1,1
1650.1,138.82,92.145,1640.8,370.72,1075.8,1518.8,285.96,12302,12130,11153,11042,2.9333,2.1333,2.6667,2.9333,-1,-1,1,1
1475.7,790.43,934.13,1710.3,970.83,1276.7,887.38,1033.5,10934,10083,9758,9645.5,6.1333,4.2667,5.6,8.2667,-1,1,-1,-1
1072.8,1074.2,1060.1,1347.9,1024.5,1029,1054.6,764.39,30942,26178,25536,25300,4.1333,5.6,4.4,8.2667,-1,-1,1,-1
1317.4,933.59,1881.7,1923.8,150.74,1277.8,396.14,696.8,40040,36274,35305,31574,2.1333,1.8667,2.9333,2.9333,-1,1,1,1
1054.1,1092.4,1091.3,748.84,1059,1044.1,1029,314.36,21353,14384,13615,13136,2.6667,2.6667,2.1333,3.0667,1,1,1,-1
552.08,1523.9,1614.6,1539.3,734.1,1310.7,1143.6,1299,48598,43481,37855,36707,2.9333,1.8667,2.1333,1.7333,1,1,1,1
987.98,960.99,730.08,1118.3,271.06,269.91,1209.9,106.31,20745,18308,17194,15269,2.1333,1.8667,2.1333,4.5333,-1,-1,-1,1
1043.8,1243.1,1254.1,232.93,524.13,525.23,1266.8,357.02,37318,36726,35566,35530,5.7333,8.1333,2.8,2.1333,-1,-1,-1,-1
1847.1,1798.5,1898.3,1806.7,92.365,278.35,273.75,229.64,25863,24288,22175,20568,6,4.4,8.2667,10.8,-1,-1,-1,-1
828.42,501.88,844.63,821.59,654.18,685.43,776.29,797.32,23405,18882,18653,17009,6.9333,5.7333,5.4667,4.1333,-1,-1,-1,-1
1426.1,1360.8,1065.1,1118,657.06,725.36,670,703.13,22598,19481,19351,19167,5.4667,5.6,4.5333,4.2667,1,-1,-1,-1
987.94,975.91,1182.7,1182.8,784.22,886.45,823.84,819.79,11899,11215,10891,10626,2.5333,2.8,5.6,4.4,-1,-1,-1,-1
282.14,144.04,1002,1005.5,490.14,725.06,433.65,441.31,5569.8,3265.8,3217.6,3068.6,12.8,11.333,11.867,8.8,-1,1,1,1
820.06,818.96,996.07,820,1047.9,1046.1,938.61,1370.7,17295,16495,14534,12048,3.0667,4,2.8,5.7333,1,1,1,-1
905.03,427.07,427.85,1197.2,530.21,1499,1501.9,467.4,5516.6,5185.5,4817.8,3747.8,1.8667,2.8,2.6667,2.1333,-1,1,1,-1
1183.8,991.48,921.35,1197.3,803.12,638.15,836.27,802.03,12448,12217,12075,11795,2.2667,2.6667,2.1333,2.5333,1,1,1,1
1163.8,840.25,1146.5,669.94,1372.4,1451.3,1458.9,725.53,12642,9267.2,7143.8,7052.3,8.2667,5.3333,4,7.8667,-1,-1,-1,-1
