1931,1551.6,1336.7,1471.5,1432.7,805.33,318.32,1029.3,649.74,12356,12326,12231,10715,4.4,12,3.6,8.4,-1,1,-1,-1
1926,542.3,586.88,570.89,658.25,407.37,921.9,442.38,411.06,6329.9,6192.3,5517.2,5239.6,8.2667,9.0667,10.8,10.667,1,-1,-1,1
1946,1016.5,488.66,2030,1100.8,245.4,1099.4,1014.7,927.69,3957.2,3281.4,2934.2,2823.6,8,4.1333,2.8,11.067,1,1,-1,1
1957,908.23,1344.4,918.9,930.49,1039.2,82.915,955.85,1060.5,10696,8994.7,8503.3,7755.2,4.2667,5.7333,6,5.7333,1,1,1,1
1908,1735.7,1764.9,1971.1,1830.6,47.575,211.23,209.91,207.75,17585,15814,14255,14215,8.9333,8.6667,4.4,8.1333,-1,-1,-1,-1
1918,1033.7,963.28,1029.8,1533.8,141.43,441.84,119.22,1242.2,8490.3,7921.7,7872.4,7587.2,12.133,8.2667,2.9333,8,1,-1,1,1
1938,1719,588.53,28.631,817.52,91.176,542.15,530.6,417.99,24577,22493,22030,21972,4.1333,4.4,2.6667,4.2667,-1,-1,-1,1
1925,1506.3,581.56,1314.4,1790.1,1370.3,1476.4,1333.5,917.85,5502,5037.6,4618,4560,1.8667,12.267,12.533,12,-1,1,1,-1
1953,1691.8,1473.2,1702.2,917.26,435.53,348.65,436.46,1154.5,12331,12142,11986,11700,9.6,10.4,6.4,12.133,1,1,1,-1
1951,1057.6,1331.6,983.41,1123.2,277.08,126.96,198.79,188.45,17535,8921.9,8498.1,8065.7,12.267,11.2,4.4,2.1333,1,-1,-1,1
1934,1106.6,1557.5,1854.8,1270.1,1203.3,1501,1252.8,249.65,15331,14736,14270,12875,2.1333,2.6667,4.1333,6,-1,1,1,-1
1945,1558.2,399.4,1819.3,336.92,1170.4,794.44,1172.3,1184.2,41233,29312,25206,24186,2.1333,3.0667,3.2,2.1333,-1,-1,-1,-1
1938,1814.5,1629.5,1686,898.53,657.34,809.29,374.41,627.26,24387,23382,22480,22286,11.6,3.0667,11.733,2.6667,-1,-1,1,-1
1935,751.61,1085.6,740.11,1612.1,1205,1386.8,1205.7,1140.7,8225.3,7780.6,7444.8,7380.9,11.733,11.467,8.8,10.667,-1,-1,-1,-1
1937,1169.5,953.28,1151.1,960.65,568.79,167.04,585.5,166.29,23424,22453,20710,20480,2.9333,6.2667,4.2667,8.9333,-1,-1,-1,-1
1951,1122.4,1175.3,572.51,859.72,852.01,871.14,1027.2,1143.5,16829,15729,13418,13025,2.6667,6.1333,2.2667,12.267,-1,1,-1,1
1952,110.42,90.206,110.44,293.66,455.8,479.61,456.36,560.61,52810,44981,42392,39905,3.0667,11.867,3.3333,10.8,-1,-1,-1,-1
1928,1273.9,1037.2,1039.9,836,912.72,925.13,519.75,518.56,15134,14900,14001,13618,8.5333,8.8,8.8,2.1333,-1,-1,1,-1
1931,565.63,680.9,545.01,1340.6,174.88,176.56,908.11,384.12,7879.7,7271.2,7137.6,6957.9,4.1333,4.2667,3.0667,2.9333,1,1,-1,1
1932,1153.6,1431.6,1403.4,1383.3,867,769.24,894.22,831.2,15482,13413,12646,12040,8.6667,12.133,7.4667,8.6667,1,1,1,1
1944,728.44,619.97,655.56,1508.2,1511.9,1433.4,1471.7,1117,21963,15151,12757,12141,4.4,4.1333,3.0667,2.4,1,1,1,1
1929,1304.5,1289.1,1598.3,1518.1,1035.6,1288,1084.7,1346.7,9742.1,8939,8737,8625.4,4,3.0667,2.8,4.1333,-1,-1,-1,-1
1939,984.52,1094.5,409.36,555.99,1340,1322.8,1114.6,1371.9,24343,23800,22630,22391,4.5333,4.4,2.1333,2.1333,1,1,1,1
1949,1844.1,405.9,614.86,1844.8,461.07,1518.9,421.76,306.71,17794,17679,16617,16336,8.1333,2.1333,2.2667,2.6667,1,-1,1,1
1925,1596.7,1737.4,1847.3,1779,978.61,954.27,935.99,869.94,39718,36046,31128,25515,2.5333,2.8,2.2667,2.1333,1,1,1,1
1953,224.86,224.08,2008.7,530.12,1185.2,1190.4,418,831.93,34919,32447,26865,26042,6.2667,4.6667,2.1333,11.333,1,1,1,1
1927,162.16,1125.8,464.68,309.42,321.26,188.47,138.22,250.62,16434,16171,13726,13440,4.2667,6,6,6,-1,-1,-1,-1
1943,954.48,261.18,297.71,341.92,1307.6,549.28,551.41,301.78,29387,18603,15140,14741,12.4,12.4,3.8667,7.8667,-1,-1,-1,-1
1947,336.54,403.28,1693.7,301.67,142.48,250.8,669.18,138.56,15321,15317,15039,14633,4.4,4,4.1333,4.1333,-1,-1,-1,-1
1954,574.85,570.25,203.03,198.38,869.47,922.44,883.99,1123.2,32917,27578,26199,25017,2.9333,8.9333,8.5333,4.5333,1,1,1,1
1955,79.751,204.64,28.417,27.76,264.36,1094.8,248.92,247.92,21216,11836,10575,10284,5.6,4.2667,3.2,4,-1,-1,-1,-1
1948,1937.9,124.64,129.12,136.55,1453.9,1478.1,83.861,87.522,27708,25106,20794,18167,2.8,2.9333,3.0667,2,-1,-1,-1,1
1959,1932.1,361.54,139.97,1766.9,1485.1,337.49,358.31,1468.8,14771,14195,12771,12311,4,2.6667,8.2667,2.8,1,-1,1,1
1938,999.7,1007.7,848.87,307.73,725.12,714.57,279.01,1354.5,19993,18570,17251,15782,2.8,2.6667,2.8,2.9333,-1,1,-1,-1
1958,1682.1,223.9,1559.5,1491,781.35,525.43,780.84,716.28,28692,22955,22675,17457,2.6667,3.8667,2.8,1.7333,-1,-1,-1,-1
1935,1311.6,1450.1,781.8,1301.4,1046.4,1033.8,893.7,1036.7,16437,15905,14380,13278,9.0667,2.9333,11.733,2,1,-1,-1,-1
1908,1993.5,1393.2,1181,1430.1,1423.7,1201.4,484.39,1258.2,18362,9663.8,9234.9,8386.8,9.6,2.4,1.7333,8,1,-1,-1,1
1950,368.38,1322.5,1636.8,238.96,1188.1,1178.9,1237.4,881.33,11513,10096,9586.4,9484.1,4,4.2667,4.2667,3.0667,1,1,-1,1
1960,1806.1,396.2,733.38,701.95,498.46,1247.5,1053,1050.3,17473,16889,16426,16374,2.8,5.6,6,6.2667,-1,-1,-1,-1
1939,1370.6,1499.3,1168,1338.7,306.03,237.54,685.2,397.71,24886,21728,21176,16900,12,11.6,11.867,4.4,-1,-1,1,1
1942,1025.9,1124,682.46,777.6,1470.5,748.18,1291.1,1420,4953.8,4192.7,4097,3982.3,11.467,6.1333,6.2667,4.2667,-1,-1,-1,-1
1937,756.52,982.18,618.74,981.42,1368.5,1385.8,927.78,1386.2,15578,15511,14388,13157,2.5333,3.2,2,3.4667,1,-1,1,-1
1956,1888.4,1900.3,1960.5,1574.3,642.61,616.18,735.47,781.3,22394,16892,15503,14407,2.4,2.4,2.1333,2.2667,-1,-1,-1,-1
1947,1600.7,448.1,1394.9,1688.2,1070,1169.5,1356.9,1203.4,13183,9189.6,8364.2,7595,2.8,4.2667,4.2667,2.5333,-1,-1,-1,-1
1932,1884.9,1771.7,1897.7,1926.1,264.44,183.51,312.81,329.66,28812,24985,22635,21980,2.1333,4.2667,3.8667,4.1333,-1,-1,-1,-1
